Wall time,Step,Value
1749398663.3786485,434816,207.0
1749398667.692263,436224,106.0
1749398675.6215272,438784,127.0
1749398681.5483048,440704,201.0
1749398686.2865186,442240,103.0
1749398704.2481735,448000,172.0
1749398709.4013097,449664,124.0
1749398731.7076006,456832,133.0
1749398733.690956,457472,82.0
1749398750.731988,462976,168.0
1749398783.2386432,473472,120.0
1749398794.3635917,477056,120.0
1749398798.7316577,478464,164.0
1749398819.8359976,485248,165.0
1749398828.973394,488192,108.0
1749398853.6881568,496128,222.0
1749398857.2791848,497280,167.0
1749398860.8225431,498432,135.0
1749398867.6069894,500608,153.0
1749398872.0105784,502016,137.0
1749398889.9543984,507776,192.0
1749398901.0735993,511360,160.0
1749398902.2612078,511744,111.0
1749398918.9723485,517120,170.0
1749398946.1842678,525824,113.0
1749398972.8386593,534400,172.0
1749398982.7719636,537600,200.0
1749398995.064136,541568,141.0
1749399002.669148,544000,223.0
1749399021.7569876,550144,155.0
1749399053.928567,560512,172.0
1749399113.0282195,579584,184.0
1749399119.409737,581632,191.0
1749399148.7447786,591104,129.0
1749399166.729656,596864,130.0
1749399186.6065774,603264,131.0
1749399220.442479,614144,188.0
1749399222.8181653,614912,105.0
1749399224.7981915,615552,173.0
1749399269.2441745,629376,253.0
1749399271.3103054,630016,278.0
1749399273.3206353,630656,160.0
1749399283.7648318,633984,183.0
1749399290.1346765,636032,190.0
1749399290.9291275,636288,205.0
1749399354.7147126,656768,178.0
1749399375.4319246,663424,151.0
1749399393.7589598,669312,200.0
1749399411.3768892,674944,283.0
1749399414.5880797,675968,152.0
1749399416.5747128,676608,237.0
1749399451.5340018,687872,254.0
1749399454.7411942,688896,184.0
1749399455.1426084,689024,269.0
1749399461.1276824,690944,235.0
1749399467.0885277,692864,263.0
1749399496.6571858,702336,177.0
1749399503.4370701,704512,171.0
1749399504.231271,704768,123.0
1749399541.5036852,716800,218.0
1749399580.355038,729216,162.0
1749399622.5971763,742784,293.0
1749399655.7549267,753408,248.0
1749399658.1436124,754176,425.0
1749399662.9072347,755712,231.0
1749399676.9136512,760192,198.0
1749399687.2333078,763520,252.0
1749399694.7550879,765952,498.0
1749399725.5558574,775808,211.0
1749399727.557411,776448,223.0
1749399746.2537014,782464,417.0
1749399769.0155852,789760,138.0
1749399769.8230135,790016,329.0
1749399821.6217935,806784,167.0
1749399832.7600744,810368,366.0
1749399845.952393,814592,411.0
1749399879.6358411,825472,412.0
1749399907.1468785,834304,163.0
1749399935.824307,843520,137.0
1749399953.1698668,849152,140.0
1749399953.9624274,849408,487.0
1749399996.010916,862976,599.0
1749400027.9850993,873216,296.0
1749400192.2496684,925952,683.0
1749400231.6709223,938624,686.0
1749400468.8612788,1014784,872.0
1749400482.687432,1019264,865.0
1749400509.0179718,1027712,867.0
1749400546.4745014,1039744,288.0
1749400588.5147154,1053312,891.0
1749400662.3074095,1076992,959.0
1749400668.6967554,1079040,865.0
1749400694.1149158,1087232,114.0
1749400702.86444,1090048,731.0
1749400712.886347,1093248,418.0
1749400717.2412667,1094656,1000.0
1749400814.3561378,1125888,736.0
1749400817.1419046,1126784,684.0
1749400838.234933,1133568,447.0
1749400940.4263828,1166464,565.0
1749400961.5116313,1173248,413.0
1749400981.6157198,1179776,1000.0
1749401004.2299507,1187072,910.0
1749401092.2055173,1215360,849.0
1749401124.3148873,1225728,771.0
1749401211.4222014,1253760,1000.0
1749401247.0787103,1265280,808.0
1749401251.0407815,1266560,1000.0
1749401258.6772199,1268992,1000.0
1749401354.816841,1299840,821.0
1749401447.258343,1329536,839.0
1749401480.642009,1340288,895.0
1749401607.1875725,1380992,995.0
1749401748.84302,1426560,1000.0
1749401795.7244127,1441664,1000.0
1749401995.5488632,1505792,1000.0
1749402016.2222176,1512448,1000.0
1749402160.496611,1558784,601.0
1749402179.974755,1565056,1000.0
1749402202.9840453,1572480,588.0
1749402244.8304777,1585920,1000.0
1749402253.2025068,1588608,1000.0
1749402273.5208702,1595136,1000.0
1749402278.6892195,1596800,1000.0
1749402281.8952649,1597824,862.0
1749402331.3545728,1613696,1000.0
1749402343.2727482,1617536,966.0
1749402418.503244,1641600,1000.0
1749402432.0898106,1645952,1000.0
1749402476.195591,1660160,1000.0
1749402500.0671413,1667840,1000.0
1749402556.7012124,1686016,1000.0
1749402626.9679832,1708544,1000.0
1749402641.350027,1713152,1000.0
1749402898.4223168,1795840,1000.0
1749402957.438043,1814784,1000.0
1749402961.4236798,1816064,1000.0
1749403030.2908235,1838080,1000.0
1749403064.6988657,1849088,1000.0
1749403161.4215798,1880192,1000.0
1749403227.5925221,1901440,1000.0
1749403299.6262274,1924480,1000.0
1749403346.626411,1939584,1000.0
1749403352.2070212,1941376,1000.0
1749403357.3815293,1943040,1000.0
1749403470.154575,1979136,1000.0
1749403475.3671513,1980800,1000.0
1749403540.2617571,2001536,1000.0
1749403598.7491696,2020352,1000.0
1749403615.177301,2025600,1000.0
1749403751.3974128,2069376,1000.0
1749403896.944608,2116096,1000.0
1749403956.8687642,2135296,1000.0
1749404022.4268136,2156288,1000.0
1749404057.4904888,2167552,1000.0
1749404114.1032317,2185728,1000.0
1749404123.7052748,2188800,1000.0
1749404326.0455284,2253696,1000.0
1749404523.2141743,2316800,1000.0
1749404546.740564,2324352,1000.0
1749404547.1451151,2324480,402.0
1749404566.251203,2330624,945.0
1749404583.4153605,2336128,1000.0
1749404647.3337982,2356608,1000.0
1749404695.9008338,2372224,1000.0
1749404858.152872,2424320,1000.0
1749404928.023879,2446720,1000.0
1749404928.4149058,2446848,1000.0
1749405151.9285324,2518528,1000.0
1749405211.547665,2537600,1000.0
1749405356.1305423,2584064,1000.0
1749405468.7932951,2620288,309.0
1749405519.6205876,2636672,1000.0
1749405570.9768057,2653184,1000.0
1749405655.7522955,2680320,1000.0
1749405742.8823013,2708352,1000.0
1749405862.7171533,2746880,1000.0
1749405900.5366104,2759040,1000.0
1749405903.31698,2759936,1000.0
1749406006.9725401,2793216,1000.0
1749406113.434501,2827392,1000.0
1749406132.9758575,2833664,1000.0
1749406187.505291,2851200,1000.0
1749406221.423431,2862080,1000.0
1749406320.1303449,2893696,1000.0
1749406414.3784428,2923904,206.0
1749406489.0134256,2947840,1000.0
1749406516.490298,2956672,1000.0
1749406580.41949,2977152,1000.0
1749406630.437275,2993152,1000.0
1749406674.3694434,3007232,1000.0
1749406753.9686096,3032832,1000.0
1749406841.4116094,3060864,1000.0
1749406921.888432,3086720,1000.0
1749406931.0167143,3089664,1000.0
1749406969.7791605,3102080,1000.0
1749407080.2836494,3137536,1000.0
1749407140.683764,3156864,1000.0
1749407226.8152432,3184512,1000.0
1749407251.1803286,3192320,1000.0
1749407287.1558092,3203840,1000.0
1749407316.2388349,3213184,1000.0
1749407325.0042071,3216000,1000.0
1749407333.0124266,3218560,342.0
1749407337.829163,3220096,550.0
1749407453.9470153,3257344,1000.0
1749407523.4866834,3279744,1000.0
1749407614.3798776,3308928,497.0
1749407634.3446846,3315328,1000.0
1749407713.081524,3340672,1000.0
1749407726.2426462,3344896,1000.0
1749407729.8230853,3346048,1000.0
1749408033.978903,3444352,1000.0
1749408079.198083,3458944,1000.0
1749408163.0903177,3486208,1000.0
1749408165.461741,3486976,1000.0
1749408358.2154496,3549952,1000.0
1749408365.2763069,3552256,1000.0
1749408517.8885171,3602048,1000.0
1749408524.2185397,3604096,1000.0
1749408550.125019,3612544,1000.0
1749408614.8565826,3633664,1000.0
1749408663.524817,3649536,1000.0
1749408684.3993201,3656320,883.0
1749408770.9047954,3684608,756.0
1749408792.4552767,3691648,347.0
1749408819.0859256,3700352,1000.0
1749408927.0923674,3735680,1000.0
1749408941.9693172,3740544,1000.0
1749409174.0600574,3816320,1000.0
1749409290.774659,3854464,1000.0
1749409310.3043737,3860864,1000.0
1749409316.1281009,3862784,356.0
1749409389.673581,3886848,1000.0
1749409411.1888878,3893888,1000.0
1749409456.231298,3908608,1000.0
1749409776.153758,4013056,1000.0
1749409814.022481,4025344,1000.0
1749409868.8887186,4043264,1000.0
1749409878.686478,4046464,1000.0
1749409924.2244046,4061312,1000.0
1749409936.3215234,4065280,1000.0
1749410047.2042387,4101504,1000.0
1749410083.9217598,4113536,1000.0
1749410178.5389605,4144384,1000.0
1749410193.7524135,4149376,299.0
1749410207.4215682,4153856,1000.0
1749410322.678859,4191488,1000.0
1749410348.4937265,4199936,1000.0
1749410383.280048,4211328,1000.0
1749410409.1039665,4219776,1000.0
1749410518.3799243,4255488,1000.0
1749410538.052865,4261888,675.0
1749410549.395486,4265600,189.0
1749410570.240169,4272384,1000.0
1749410663.701185,4302976,1000.0
1749410699.2905436,4314624,118.0
1749410779.5639472,4340864,1000.0
1749410791.707197,4344832,1000.0
1749410841.4487693,4361088,1000.0
1749410881.081408,4374016,1000.0
1749410912.8917935,4384384,1000.0
1749410986.718166,4408448,1000.0
1749410995.342704,4411264,930.0
1749411001.2554579,4413184,1000.0
1749411005.9219627,4414720,1000.0
1749411036.0443006,4424576,948.0
1749411105.500562,4447232,1000.0
1749411151.880208,4462336,1000.0
1749411261.3738682,4498048,1000.0
1749411273.0963845,4501888,1000.0
1749411376.294661,4535552,1000.0
1749411388.0648592,4539392,1000.0
1749411416.55307,4548736,278.0
1749411432.1677063,4553856,377.0
1749411535.0908532,4587520,1000.0
1749411559.013441,4595328,1000.0
1749411674.7438118,4633088,1000.0
1749411700.984969,4641664,227.0
1749411725.2773464,4649600,1000.0
1749411768.0823596,4663552,1000.0
1749411824.114389,4681856,1000.0
1749411834.788739,4685312,1000.0
1749412049.653517,4755584,900.0
1749412116.787708,4777600,1000.0
1749412130.1217015,4781952,334.0
1749412159.4679031,4791552,1000.0
1749412274.8317735,4829312,931.0
1749412281.4745429,4831488,850.0
1749412304.1266537,4838912,914.0
1749412308.4203281,4840320,1000.0
1749412367.1809127,4859520,984.0
1749412442.8447666,4884224,541.0
1749412605.8848364,4937472,415.0
1749412775.6665664,4993024,1000.0
1749412814.8492477,5005824,1000.0
1749412825.8329618,5009408,1000.0
1749412876.1445756,5025792,1000.0
1749412916.056582,5038848,1000.0
1749413025.6618698,5074688,1000.0
1749413116.903026,5104512,1000.0
1749413125.1552024,5107200,1000.0
1749413127.1227312,5107840,1000.0
1749413324.5821908,5172480,1000.0
1749413545.125264,5244544,204.0
1749413585.946887,5257856,1000.0
1749413697.4836586,5294208,196.0
1749413728.45243,5304320,1000.0
1749413743.389093,5309184,1000.0
1749413785.2646081,5322880,1000.0
1749413891.6946917,5357696,1000.0
1749413893.6699135,5358336,1000.0
1749413952.8754559,5377664,1000.0
1749414138.7216012,5438336,1000.0
1749414304.0313725,5492352,1000.0
1749414447.2866504,5539072,1000.0
1749414721.29116,5628416,1000.0
1749414727.2005138,5630336,1000.0
1749414753.0572488,5638784,1000.0
1749414940.2032127,5699968,1000.0
1749415017.8379648,5725312,1000.0
1749415024.4832075,5727488,1000.0
1749415029.6020253,5729152,1000.0
1749415163.5664594,5772928,1000.0
1749415311.082038,5821184,1000.0
1749415357.4715545,5836288,1000.0
1749415457.627269,5868928,1000.0
1749415671.1845253,5938688,798.0
1749415713.6046813,5952512,919.0
1749415761.8348489,5968256,1000.0
1749416079.0050757,6072064,998.0
1749416126.294867,6087552,1000.0
1749416167.3729515,6100992,1000.0
1749416191.7284412,6108928,1000.0
1749416203.8590343,6112896,1000.0
1749416224.2668655,6119552,1000.0
1749416243.045372,6125696,1000.0
1749416245.0119762,6126336,1000.0
1749416290.498933,6141184,1000.0
1749416306.978919,6146560,1000.0
1749416486.4032686,6205184,1000.0
1749416547.7890189,6225280,1000.0
1749416642.18287,6256128,1000.0
1749416647.2645156,6257792,1000.0
1749416888.5504346,6336512,1000.0
1749416897.9232275,6339584,1000.0
1749416905.3819213,6342016,113.0
1749416951.1479974,6356992,1000.0
1749417023.3678448,6380544,1000.0
1749417047.7782776,6388480,1000.0
1749417259.8457549,6457728,1000.0
1749417360.3186586,6490624,1000.0
1749417398.0373173,6502912,1000.0
1749417403.913196,6504832,1000.0
1749417414.5058877,6508288,1000.0
1749417463.7659347,6524416,1000.0
1749417685.9889126,6597120,876.0
1749418055.8654642,6717824,1000.0
1749418073.4292188,6723584,1000.0
1749418150.9913306,6748928,1000.0
1749418259.838221,6784512,1000.0
1749418280.17865,6791168,1000.0
1749418306.4083078,6799744,1000.0
1749418344.063893,6812032,1000.0
1749418419.1095583,6836608,1000.0
1749418434.734269,6841728,1000.0
1749418573.041239,6886912,1000.0
1749418626.237292,6904320,1000.0
1749418652.7245698,6913024,1000.0
1749418687.1174932,6924288,1000.0
1749418719.5213253,6934912,1000.0
1749418821.189384,6968192,1000.0
1749418841.9712183,6974976,1000.0
1749418852.1414804,6978304,1000.0
1749418895.5828273,6992512,1000.0
1749418923.4655998,7001600,1000.0
1749419085.9894001,7054720,175.0
1749419130.847948,7069440,791.0
1749419190.886826,7089152,1000.0
1749419197.5660036,7091328,1000.0
1749419369.5743914,7147520,1000.0
1749419376.2456405,7149696,1000.0
1749419423.4798827,7165184,1000.0
1749419426.9692225,7166336,1000.0
1749419440.6103215,7170816,1000.0
1749419453.5566988,7175040,1000.0
1749419480.2355528,7183744,1000.0
1749419484.1532059,7185024,1000.0
1749419815.0808966,7293184,1000.0
1749419846.303593,7303424,1000.0
1749419878.3572886,7313920,1000.0
1749419881.8971477,7315072,1000.0
