Wall time,Step,Value
1749592013.287903,1003904,180.0
1749592015.6091394,1005312,198.0
1749592021.713599,1009024,261.0
1749592048.0061932,1025024,174.0
1749592048.2115684,1025152,434.0
1749592070.5326767,1038720,287.0
1749592140.8613532,1081728,269.0
1749592175.3610704,1102848,382.0
1749592176.1898427,1103360,290.0
1749592178.4840524,1104768,471.0
1749592179.741732,1105536,273.0
1749592184.5538192,1108480,337.0
1749592184.7586985,1108608,343.0
1749592213.5857978,1126144,234.0
1749592225.7480145,1133568,359.0
1749592242.2886,1143680,403.0
1749592252.760083,1150080,322.0
1749592316.4912467,1188992,550.0
1749592329.6882424,1197056,68.0
1749592332.4165528,1198720,184.0
1749592342.1457791,1204608,162.0
1749592353.0765278,1211264,640.0
1749592355.6113138,1212800,457.0
1749592366.746735,1219584,360.0
1749592366.9597666,1219712,362.0
1749592376.4413834,1225472,399.0
1749592384.4239464,1230336,530.0
1749592419.949237,1251968,429.0
1749592422.0307822,1253248,428.0
1749592431.8366425,1259264,310.0
1749592455.3674169,1273728,377.0
1749592458.4892461,1275648,331.0
1749592469.5377057,1282432,215.0
1749592491.264877,1295744,303.0
1749592501.0778077,1301760,387.0
1749592505.6621232,1304576,380.0
1749592515.4805896,1310592,443.0
1749592593.0802412,1357952,470.0
1749592596.03516,1359744,528.0
1749592601.3084397,1362944,370.0
1749592614.1495764,1370752,105.0
1749592615.841061,1371776,513.0
1749592637.8924017,1385216,542.0
1749592668.8380187,1404032,454.0
1749592681.2449052,1411584,542.0
1749592688.1885335,1415808,343.0
1749592725.240795,1438464,521.0
1749592740.129306,1447552,358.0
1749592766.334368,1463552,724.0
1749592811.5913677,1491200,468.0
1749592843.2011924,1510528,548.0
1749592854.32876,1517312,128.0
1749592864.8219872,1523712,641.0
1749592865.0358415,1523840,627.0
1749592891.1472306,1539840,585.0
1749592903.2924776,1547264,611.0
1749592906.8441367,1549440,690.0
1749592924.8277316,1560448,374.0
1749592929.6503096,1563392,357.0
1749592931.946573,1564800,809.0
1749592938.8583558,1569024,656.0
1749592940.7288592,1570176,629.0
1749592947.0111527,1574016,674.0
1749592978.4866261,1593216,671.0
1749592991.7602136,1601280,914.0
1749593040.9390612,1631232,731.0
1749593054.9799905,1639808,579.0
1749593055.6191952,1640192,597.0
1749593091.0306797,1661824,510.0
1749593095.4220023,1664512,712.0
1749593103.8026078,1669632,648.0
1749593128.6252851,1684736,747.0
1749593153.4510236,1699840,100.0
1749593157.0527475,1702016,673.0
1749593170.1009703,1709952,823.0
1749593200.8733892,1728640,697.0
1749593241.907237,1753728,91.0
1749593271.2701428,1771648,883.0
1749593295.7330534,1786624,162.0
1749593362.1412652,1827200,168.0
1749593374.0615773,1834496,1000.0
1749593431.2060819,1869440,745.0
1749593486.5641005,1903232,284.0
1749593507.7875564,1916160,757.0
1749593523.367133,1925632,643.0
1749593556.5119562,1945856,625.0
1749593557.5646186,1946496,147.0
1749593582.4207416,1961600,813.0
1749593590.5979898,1966592,759.0
1749593600.0072222,1972352,508.0
1749593617.8217413,1983232,1000.0
1749593636.369346,1994624,260.0
1749593657.85938,2007808,751.0
1749593713.9334471,2042112,1000.0
1749593729.4284613,2051584,1000.0
1749593733.3983474,2054016,195.0
1749593735.5598798,2055296,496.0
1749593739.3235655,2057600,1000.0
1749593744.3661942,2060672,479.0
1749593750.6622598,2064512,651.0
1749593758.5958316,2069376,858.0
1749593775.1488595,2079488,171.0
1749593786.2681928,2086272,180.0
1749593804.8662982,2097664,519.0
1749593806.5339289,2098688,1000.0
1749593816.1869571,2104576,133.0
1749593840.0771132,2119168,1000.0
1749593851.8293376,2126336,1000.0
1749593852.4615953,2126720,76.0
1749593870.387853,2137600,1000.0
1749593885.4947705,2146816,105.0
1749593941.2634284,2180864,1000.0
1749593944.4320052,2182784,431.0
1749593973.6288135,2200576,867.0
1749593974.4824448,2201088,154.0
1749593985.415836,2207744,1000.0
1749593993.1716526,2212480,1000.0
1749593999.273208,2216192,1000.0
1749594026.2842898,2232704,102.0
1749594037.1838992,2239360,99.0
1749594141.0356395,2302720,898.0
1749594142.921939,2303872,1000.0
1749594149.8147016,2308096,1000.0
1749594152.3199208,2309632,802.0
1749594159.2113004,2313856,114.0
1749594166.9603908,2318592,315.0
1749594168.4343467,2319488,782.0
1749594220.1984358,2351104,369.0
1749594221.86465,2352128,556.0
1749594229.6138306,2356864,593.0
1749594236.9562178,2361344,175.0
1749594262.7086828,2377088,204.0
1749594271.538017,2382464,276.0
