Wall time,Step,Value
1749247470.6765022,859776,479.0
1749247481.537132,865920,356.0
1749247482.8887486,866688,292.0
1749247486.9502664,868992,329.0
1749247503.9716074,878592,357.0
1749247543.220108,900736,248.0
1749247550.0363672,904576,327.0
1749247551.6202273,905472,357.0
1749247555.5021727,907648,406.0
1749247578.6321971,920704,428.0
1749247597.5161762,931328,403.0
1749247599.5674512,932480,357.0
1749247609.1575272,937856,376.0
1749247644.8152964,957952,315.0
1749247654.3159974,963328,313.0
1749247668.2380686,971136,388.0
1749247680.063841,977792,370.0
1749247680.52902,978048,475.0
1749247686.6780384,981504,406.0
1749247694.4186213,985856,538.0
1749247706.9119093,992896,489.0
1749247714.176381,996992,324.0
1749247718.4799724,999424,363.0
1749247723.2888584,1002112,408.0
1749247741.943602,1012608,478.0
1749247744.2102392,1013888,584.0
1749247744.8957603,1014272,317.0
1749247791.3819764,1040512,757.0
1749247795.6812518,1042944,387.0
1749247815.0310285,1053824,444.0
1749247830.0318363,1062272,389.0
1749247836.1399674,1065728,379.0
1749247840.2123516,1068032,426.0
1749247879.6788623,1090304,654.0
1749247889.3795655,1095808,348.0
1749247911.221906,1108096,341.0
1749247922.8180668,1114624,767.0
1749247931.935512,1119744,571.0
1749247932.388696,1120000,526.0
1749247981.6153245,1147776,717.0
1749248011.7641249,1164800,737.0
1749248023.7812374,1171584,721.0
1749248024.4563308,1171968,732.0
1749248049.4004695,1186048,371.0
1749248076.9572623,1201536,765.0
1749248078.1046429,1202176,347.0
1749248105.095204,1217408,393.0
1749248118.9933393,1225216,488.0
1749248173.4952183,1255936,700.0
1749248281.958735,1317120,512.0
1749248282.6416209,1317504,620.0
1749248289.4623346,1321344,551.0
1749248304.8017836,1330048,663.0
1749248309.578148,1332736,251.0
1749248314.6049788,1335552,442.0
1749248315.521246,1336064,631.0
1749248316.4277096,1336576,424.0
1749248330.4898667,1344512,540.0
1749248336.6144006,1347968,405.0
1749248356.396663,1359104,641.0
1749248407.6227806,1387904,730.0
1749248493.1062086,1436032,611.0
1749248531.9114332,1457920,496.0
1749248540.0821815,1462528,716.0
1749248564.8344085,1476480,364.0
1749248577.647376,1483648,530.0
1749248587.8438234,1489408,707.0
1749248596.8845456,1494528,857.0
1749248601.2140741,1496960,567.0
1749248648.3301342,1523584,495.0
1749248679.3737798,1541120,493.0
1749248683.895244,1543680,732.0
1749248705.0290737,1555584,413.0
1749248716.181508,1561856,528.0
1749248737.1273463,1573632,419.0
1749248777.3116758,1596288,651.0
1749248781.1713986,1598464,399.0
1749248781.402722,1598592,424.0
1749248788.6635447,1602688,385.0
1749248789.572014,1603200,418.0
1749248791.6103592,1604352,504.0
1749248797.0163066,1607424,820.0
1749248802.4994419,1610496,759.0
1749248818.6830592,1619584,739.0
1749248844.232599,1633920,196.0
1749248868.3741922,1647488,493.0
1749248869.7521803,1648256,430.0
1749248892.2682626,1660928,488.0
1749248900.5012996,1665536,306.0
1749248903.4604897,1667200,731.0
1749248917.791919,1675264,633.0
1749248927.5368516,1680768,572.0
1749248929.7959712,1682048,411.0
1749248940.0285718,1687808,799.0
1749248945.9399269,1691136,551.0
1749248948.1970806,1692416,628.0
1749248949.7792056,1693312,700.0
1749248989.7416627,1715840,747.0
1749248999.4914527,1721344,307.0
1749249001.0744574,1722240,475.0
1749249011.7371173,1728256,608.0
1749249049.1663835,1749376,321.0
1749249062.309642,1756800,387.0
1749249084.1365857,1769088,528.0
1749249127.7475348,1793664,757.0
1749249208.1941874,1838976,628.0
1749249230.220673,1851392,953.0
1749249248.4792624,1861632,445.0
1749249249.6047745,1862272,232.0
1749249298.499184,1889920,1000.0
1749249346.1537235,1916800,667.0
1749249353.8503137,1921152,510.0
1749249354.073264,1921280,102.0
1749249427.02803,1962368,723.0
1749249431.0976868,1964672,120.0
1749249437.6859567,1968384,485.0
1749249462.319344,1982208,684.0
1749249463.0136983,1982592,379.0
1749249464.1552427,1983232,484.0
1749249498.0443184,2002304,1000.0
1749249506.67713,2007168,494.0
1749249547.4234955,2030208,551.0
1749249561.0102036,2037888,203.0
1749249655.4275277,2091136,530.0
1749249665.1415634,2096640,561.0
1749249673.272876,2101248,478.0
1749249699.0209858,2115712,485.0
1749249704.2797515,2118656,771.0
1749249731.0847313,2133760,263.0
1749249742.4890833,2140160,815.0
1749249746.5897763,2142464,456.0
1749249771.9392452,2156800,680.0
1749249778.022522,2160256,817.0
1749249786.631026,2165120,783.0
1749249804.9113975,2175488,627.0
1749249821.0056727,2184576,915.0
1749249841.708016,2196224,509.0
1749249854.5055234,2203392,442.0
1749249871.819856,2213120,724.0
1749249886.5974154,2221440,798.0
