Wall time,Step,Value
1749397339.6137855,8832,-91.7778091430664
1749397349.225927,13056,-103.1461410522461
1749397350.0334752,13312,-53.72377014160156
1749397386.740862,25088,8.59645938873291
1749397392.719423,27008,6.084618091583252
1749397404.605051,30848,9.610041618347168
1749397422.5297832,36608,7.81774377822876
1749397428.9351687,38656,12.704781532287598
1749397430.1417153,39040,16.236413955688477
1749397438.1387415,41600,13.073968887329102
1749397454.8855367,46976,13.879387855529785
1749397461.6607478,49152,15.468000411987305
1749397462.8619015,49536,11.935196876525879
1749397467.2435982,50944,10.663684844970703
1749397487.2006688,57344,13.107571601867676
1749397499.2366538,61184,13.715654373168945
1749397502.4327092,62208,14.36375904083252
1749397508.8992662,64256,14.21662712097168
1749397514.5381978,66048,13.768914222717285
1749397528.1712842,70400,18.204025268554688
1749397554.1565447,78720,20.689464569091797
1749397568.5509417,83328,18.28582763671875
1749397582.9242458,87936,9.447708129882812
1749397583.3291695,88064,17.773414611816406
1749397618.449453,99328,20.1237735748291
1749397620.847019,100096,21.75913429260254
1749397634.8098073,104576,20.782428741455078
1749397642.723494,107136,14.272422790527344
1749397659.3919463,112512,24.044673919677734
1749397669.7836785,115840,23.16717529296875
1749397682.9569616,120064,22.53799819946289
1749397684.16895,120448,16.541255950927734
1749397699.4051073,125312,24.554914474487305
1749397741.6568117,138880,26.725116729736328
1749397749.223542,141312,12.746729850769043
1749397753.569389,142720,24.91402244567871
1749397761.4976876,145280,18.120742797851562
1749397771.801276,148608,13.678180694580078
1749397792.1327295,155136,22.089263916015625
1749397827.4627788,166528,24.513643264770508
1749397832.654433,168192,24.000940322875977
1749397836.6653392,169472,9.900834083557129
1749397839.4604273,170368,23.782106399536133
1749397880.0848153,183424,24.233732223510742
1749397883.2806866,184448,20.4532527923584
1749397892.891165,187520,13.55100154876709
1749397906.4305384,191872,24.0025691986084
1749397912.347333,193792,19.345918655395508
1749397914.3604302,194432,25.04114532470703
1749397918.319161,195712,25.101789474487305
1749397924.7372372,197760,22.342750549316406
1749397949.0441554,205568,19.876373291015625
1749397972.5438924,213120,23.22793960571289
1749398006.3554666,224000,16.14653968811035
1749398027.8300028,230912,17.93729019165039
1749398029.0287607,231296,28.834577560424805
1749398045.7523088,236672,19.49901008605957
1749398063.6750343,242432,27.0846004486084
1749398069.2077322,244224,18.14710807800293
1749398070.4055285,244608,25.907228469848633
1749398098.3192534,253568,33.06755828857422
1749398102.325311,254848,26.07135581970215
1749398127.7733881,263040,22.905792236328125
1749398169.2130723,276352,25.77386474609375
1749398185.5931215,281600,23.396921157836914
1749398185.9978013,281728,22.02471351623535
